Abstract ID,Presentation day,Poster number,Poster title,Primary,Secondary
1076,Monday,M001,Cortical surface architecture endophenotype and correlates of clinical diagnosis of autism spectrum,Disorders of the Nervous System,Autism 
1130,Monday,M002,Machine Learning Guided Neurofunctional Markers for High-Functioning Autism Spectrum Disorder,Disorders of the Nervous System,Autism 
1133,Monday,M003,A mechanistic link between deficient synaptic pruning and functional hyper-connectivity in autism,Disorders of the Nervous System,Autism 
1336,Monday,M004,Network differences during an n-back working memory task in adults with autism spectrum disorder,Disorders of the Nervous System,Autism 
1373,Monday,M005,Atypical Scaling Between the Inner and Outer Curvature of the Brain in Autism Spectrum Disorder,Disorders of the Nervous System,Autism 
1411,Monday,M006,Event-related Spectral Perturbations of Auditory Distractor Processing in Adults with Autism,Disorders of the Nervous System,Autism 
1414,Monday,M007,Do Schizophrenia and Autism Spectrum Disorder Share the Same Root? A Neuroimage Evidence,Disorders of the Nervous System,Autism 
1442,Monday,M008,Cortical Gyrification in Individuals with Autism Spectrum Disorder and 22q11.2 Deletion Syndrome,Disorders of the Nervous System,Autism 
1585,Monday,M009,Searching for Multimodal Neuromarkers of Social Deficits in Autism: A Replication Study,Disorders of the Nervous System,Autism 
1632,Monday,M010,OXTR polygenic risk for ASDs impacts right posterior insula volume in two healthy young cohorts,Disorders of the Nervous System,Autism 
1637,Monday,M011,Neuroanatomical underpinnings of ASD-symptomatology in 22q11.2 deletion syndrome and idiopathic ASD,Disorders of the Nervous System,Autism 
1729,Monday,M012,Atypical brain correlates of automatic change-detection in facial expression in Autism,Disorders of the Nervous System,Autism 
1737,Monday,M013,Superior temporal sulcus rest functional abnormality in children with autism: an MRI-ASL study,Disorders of the Nervous System,Autism 
1749,Monday,M014,"Gaze perception, superior temporal sulcus and autism: an rTMS study.",Disorders of the Nervous System,Autism 
1769,Monday,M015,Altered structural brain asymmetry in autism spectrum disorder: analysis via the ENIGMA Consortium,Disorders of the Nervous System,Autism 
1795,Monday,M016,BOLD signal variability and complexity in youth with and without autism spectrum disorder,Disorders of the Nervous System,Autism 
1832,Monday,M017,A Longitudinal MRI Study of Amygdala and Hippocampal Subfields for Infants with Risk of ASD,Disorders of the Nervous System,Autism 
1988,Monday,M018,Autism Spectrum Disorder Symptoms are Associated with Altered Whole-Brain Functional Connectivity,Disorders of the Nervous System,Autism 
2183,Monday,M019,Cortical correlates of polygenic risk for autism spectrum disorders,Disorders of the Nervous System,Autism 
2217,Monday,M020,Multidimensional Approaches in the Study of Autistic-Like Traits using Behavioral and Imaging Data,Disorders of the Nervous System,Autism 
2264,Monday,M021,Endogenous BOLD Signal Complexity of vmPFC is Different Between Autistic Men and Women,Disorders of the Nervous System,Autism 
2423,Monday,M022,Effects of Gender on Within- and Between-Network Functional Connectivity in Youth with ASD,Disorders of the Nervous System,Autism 
2436,Monday,M023,Relationship between Visual Short-term Memory and Corpus Callosum in Autism Spectrum Disorder,Disorders of the Nervous System,Autism 
2454,Monday,M024,Deviated Brain Maturity in Intrinsic Functional Architecture in Autism Spectrum Disorder,Disorders of the Nervous System,Autism 
2483,Monday,M025,Accelerated decline of homotopic sensorimotor connections in older adults with ASDs,Disorders of the Nervous System,Autism 
2576,Monday,M026,Oxytocin therapy for Autism: Long-term change in social brain activity after multiple-dose treatment,Disorders of the Nervous System,Autism 
2593,Monday,M027,Brain asymmetry stratifies males and females with ASD with different language history profiles,Disorders of the Nervous System,Autism 
2838,Monday,M028,"The relationship among polymorphism of NRXN1, EQ-SQ score and brain structure in healthy adults.",Disorders of the Nervous System,Autism 
3011,Monday,M029,A Diffusion Weighted Imaging Study of Autism Spectrum Disorder in Preschool-Aged Children,Disorders of the Nervous System,Autism 
3020,Monday,M030,Altered structural covariance within functional networks in Autism Spectrum Disorders (ASD),Disorders of the Nervous System,Autism 
3170,Monday,M031,Effect of Sex on Brain Regional Homogeneity in Autism Spectrum Disorder,Disorders of the Nervous System,Autism 
